Місяць,Індекс
2019-01-01,101.5
2019-02-01,100.9
2019-03-01,101.1
2019-04-01,100.8
2019-05-01,100.0
2019-06-01,100.0
2019-07-01,99.3
2019-08-01,100.0
2019-09-01,100.0
2019-10-01,101.9
2019-11-01,101.7
2019-12-01,100.8
2020-01-01,100.2
2020-02-01,99.7
2020-03-01,100.8
2020-04-01,100.8
2020-05-01,100.3
2020-06-01,100.2
2020-07-01,99.4
2020-08-01,99.8
2020-09-01,100.5
2020-10-01,101.0
2020-11-01,101.3
2020-12-01,100.9
2021-01-01,101.3
2021-02-01,101.0
2021-03-01,101.7
2021-04-01,100.7
2021-05-01,100.2
2021-06-01,100.1
2021-07-01,99.8
2021-08-01,100.1
2021-09-01,100.9
2021-10-01,101.3
2021-11-01,100.9
2021-12-01,100.6
2022-01-01,101.3
2022-02-01,101.6
2022-03-01,104.5
2022-04-01,103.1
2022-05-01,102.7
2022-06-01,103.1
2022-07-01,100.7
2022-08-01,101.1
2022-09-01,101.9
2022-10-01,102.5
2022-11-01,100.7
2022-12-01,100.7
2023-01-01,102.8
2023-02-01,100.7
2023-03-01,101.5
2023-04-01,100.2
2023-05-01,100.4
2023-06-01,99.4
2023-07-01,98.6
2023-08-01,100.5
2023-09-01,100.5
2023-10-01,100.8
2023-11-01,100.5
2023-12-01,100.7
2024-01-01,100.4
2024-02-01,100.3
2024-03-01,100.5
2024-04-01,100.2
2024-05-01,100.6
2024-06-01,102.2
2024-07-01,100.0
2024-08-01,100.5
2024-09-01,101.5
2024-10-01,101.8
2024-11-01,101.9
2024-12-01,101.8
